timestamp_utc,x_mm,y_mm,z_mm,best_offset_mm,fit_used,peak_blob_score,used_wide,plane_samples
2026-08-27T06:28:21+00:00,-0.005,12.0077,20.5625,-0.003961,True,477306.0,True,1
2026-08-27T06:33:51+00:00,12.5,12.5,-0.0026,-0.005,False,506405.0,False,1
2026-08-27T06:34:01+00:00,12.5,12.5,-0.0044,0.00233,True,494247.0,False,2
2026-08-27T06:34:05+00:00,12.5,12.5,-0.0069,0.000818,True,494502.0,False,3
2026-08-27T06:36:55+00:00,-0.33,11.512,20.7054,-0.005,False,796674.0,True,4
2026-08-27T06:37:02+00:00,-0.33,11.512,20.6948,0.005,False,521378.0,False,5
2026-08-27T06:45:48+00:00,-0.33,11.512,20.4069,-0.314253,True,702970.0,True,1
2026-08-27T06:46:38+00:00,-0.33,11.512,19.8874,0.819489,True,628789.0,False,2
2026-08-27T06:47:19+00:00,-0.33,11.512,19.3636,0.413066,True,545770.0,False,3
2026-08-27T06:48:08+00:00,-0.33,11.512,18.8275,0.593332,True,575666.0,False,4
2026-08-27T07:48:02+00:00,-0.33,11.512,19.7844,0.499929,True,786024.0,False,1
2026-08-27T07:48:50+00:00,-0.33,11.512,19.2584,0.54745,True,687691.0,False,2
2026-08-27T07:49:32+00:00,-0.33,11.512,18.7182,0.446519,True,720559.0,False,3
2026-08-27T07:55:19+00:00,-0.33,11.512,20.2063,-0.131845,True,737244.0,True,1
2026-08-27T07:57:23+00:00,-0.33,11.512,19.6589,0.856503,True,875466.0,False,2
2026-08-27T07:58:09+00:00,-0.33,11.512,19.1195,0.432452,True,848081.0,False,3
2026-08-27T08:09:26+00:00,-0.33,11.512,19.3842,0.671643,True,829428.0,True,1
2026-08-27T08:25:45+00:00,-0.33,11.512,20.3804,-0.015165,True,1309190.0,False,1
2026-08-27T08:33:11+00:00,-0.33,11.512,20.374,0.0,False,414242.0,False,1
2026-08-27T08:33:23+00:00,-0.33,11.512,20.3702,0.0,False,404898.0,False,2
2026-08-27T08:33:56+00:00,-0.33,11.512,20.3919,0.0,False,399040.0,False,3
2026-08-27T08:39:14+00:00,-0.33,11.512,20.6173,-0.127133,True,546615.0,False,4
2026-08-27T08:43:52+00:00,12.1165,14.0853,-0.0763,0.870727,True,2097097.0,False,1
2026-08-27T08:44:46+00:00,0.0,0.0,-0.0515,-0.050314,True,2109565.0,False,1
2026-08-27T08:45:33+00:00,0.0,12.0401,-38.145,-0.728559,True,167300.0,False,2
2026-08-27T08:47:53+00:00,-2.001,12.0401,16.8545,0.076214,True,2159546.0,True,1
