offset_um,score,n_blobs
-255.0,85297.5,6
-256.0,67957.5,5
-257.0,78412.5,6
-258.0,60435.0,5
-259.0,69300.5,6
-260.0,81090.0,6
-261.0,77749.0,6
-262.0,88102.5,6
-263.0,78922.5,6
-264.0,80551.5,6
-265.0,87082.5,6
-266.0,80580.0,6
-267.0,74587.5,5
-268.0,64260.0,6
-269.0,78795.0,5
-270.0,63240.0,6
-271.0,64005.0,6
-272.0,63495.0,6
-273.0,83640.0,6
-274.0,67192.5,6
-275.0,79305.0,6
-276.0,93967.5,6
-277.0,81600.0,5
-278.0,79432.5,6
-279.0,74715.0,6
-280.0,76755.0,6
-281.0,85912.5,6
-282.0,90142.5,6
-283.00000000000006,71527.5,5
-284.00000000000006,77428.5,6
-285.00000000000006,78157.5,6
-286.00000000000006,90780.0,6
-287.00000000000006,86922.5,6
-288.00000000000006,91927.5,6
-289.0,91162.5,6
-290.0,86955.0,5
-291.0,91035.0,6
-292.0,90525.0,6
-293.0,89250.0,6
-294.0,93167.0,6
-295.0,94680.0,6
-296.0,95905.5,6
-297.0,83640.0,6
-298.0,75056.5,6
-299.0,64027.0,6
-300.0,68850.0,6
-301.0,73170.0,6
-302.0,76500.0,6
-303.0,74332.5,6
-304.0,75097.5,6
-305.0,71272.5,6
-306.0,95752.5,6
-307.0,62751.0,6
-308.0,97537.5,6
-309.0,95370.0,6
-310.0,94350.0,5
-311.0,104040.0,6
-312.0,97155.0,6
-313.0,85170.0,6
-314.0,87720.0,6
-315.0,98812.5,6
-316.0,100980.0,6
-317.0,102637.5,6
-318.0,99322.5,6
-319.0,99195.0,5
-320.0,93028.0,6
-321.0,95859.0,6
-322.0,98047.5,6
-323.0,103924.5,6
-324.0,101745.0,6
-325.0,103192.5,6
-326.0,100450.5,6
-327.0,94860.0,6
-328.0,96007.5,6
-329.0,106717.5,5
-330.0,94198.5,6
-331.0,79397.5,6
-332.0,89505.0,5
-333.0,76245.0,5
-334.0,90142.5,5
-335.0,100852.5,6
-336.0,102765.0,6
-337.0,103530.0,6
-338.0,109012.5,6
-339.0,108247.5,5
-340.0,105060.0,5
-341.0,109140.0,6
